Node 1,Node 2,Distance (KM)
Fribourg ,Saint Gallen,  237  
Fribourg ,Biel ,80
Fribourg ,Thun ,69
Fribourg ,Schaffhausen ,203
Fribourg ,Chur ,277
Fribourg ,Sion ,130
Fribourg ,Lugano ,312
Fribourg ,Zug ,167
Fribourg ,Montreux ,60
Chur ,Zurich,  121  
Chur ,Geneva,  399  
Chur ,Basel,  204  
Chur ,Bern,  248  
Chur ,Lausanne,  343  
Chur ,Winterthur,  159  
Chur ,Lucerne,  143  
Chur ,Saint Gallen,  106  
Chur ,Biel ,237
Chur ,Thun ,270
Chur ,Schaffhausen ,185
Chur ,Fribourg ,277
Chur ,Sion ,396
Chur ,Lugano ,145
Chur ,Zug ,117
Chur ,Montreux ,330
Sion ,Zurich,  277  
Sion ,Geneva,  163  
Sion ,Basel,  249  
Sion ,Bern,  156  
Sion ,Lausanne,  95  
Sion ,Winterthur,  298  
Sion ,Lucerne,  267  
Sion ,Saint Gallen,  356  
Sion ,Biel ,200
Sion ,Thun ,188
Sion ,Schaffhausen ,323
Sion ,Fribourg ,130
Sion ,Chur ,396
Sion ,Lugano ,217
Sion ,Zug ,286
Sion ,Montreux ,68
Lugano ,Zurich,  208  
Lugano ,Geneva,  370  
Lugano ,Basel,  266  
Lugano ,Bern,  293  
Lugano ,Lausanne,  380  
Lugano ,Winterthur,  240  
Lugano ,Lucerne,  171  
Lugano ,Saint Gallen,  249  
Lugano ,Biel ,274
Lugano ,Thun ,248
Lugano ,Schaffhausen ,256
Lugano ,Fribourg ,312
Lugano ,Chur ,145
Lugano ,Sion ,217
Lugano ,Zug ,172
Lugano ,Montreux ,278
Zug ,Zurich,  35  
Zug ,Geneva,  290  
Zug ,Basel,  108  
Zug ,Bern,  138  
Zug ,Lausanne,  233  
Zug ,Winterthur,  71  
Zug ,Lucerne,  31  
Zug ,Saint Gallen,  126  
Zug ,Biel ,129
Zug ,Thun ,161
Zug ,Schaffhausen ,92
Zug ,Fribourg ,167
Zug ,Chur ,117
Zug ,Sion ,286
Zug ,Lugano ,172
Zug ,Montreux ,220
Montreux ,Zurich,  211  
Montreux ,Geneva,  95  
Montreux ,Basel,  182  
Montreux ,Bern,  90  
Montreux ,Lausanne,  29  
Montreux ,Winterthur,  232  
Montreux ,Lucerne,  196  
Montreux ,Saint Gallen,  290  
Montreux ,Biel ,132
Montreux ,Thun ,124
Montreux ,Schaffhausen ,256
Montreux ,Fribourg ,60
Montreux ,Chur ,330
Montreux ,Sion ,68
Montreux ,Lugano ,278
Montreux ,Zug ,220
